Category,Yavapai
Total_doses_administered,198212
Total_people_one_dose,113096
Total_people_complete,95210
Total_doses_ordered,174926
total_pouluation,232386
Male-65 years and older,24487
Male-55-64 years,8789
Male-45-54 years,5195
Male-20-44 years,10299
Male-Less than 20 years,2242
Female-65 years and older,30544
Female-55-64 years,11209
Female-45-54 years,6065
Female-20-44 years,10461
Female-Less than 20 years,2491
"Black or African American, non-Hispanic",633
"American Indian or Alaska Native, non-Hispanic",1170
"Asian or Pacific Islander, non-Hispanic",1485
Hispanic or Latino,7334
Other Race,17382
Unknown,27797
"White, non-Hispanic",57295
