Category,Coconino
Total_doses_administered,156563
Total_people_one_dose,85838
Total_people_complete,77069
Total_doses_ordered,109424
total_pouluation,147275
Male-65 years and older,8013
Male-55-64 years,6173
Male-45-54 years,5606
Male-20-44 years,17148
Male-Less than 20 years,3422
Female-65 years and older,9093
Female-55-64 years,6887
Female-45-54 years,5719
Female-20-44 years,19589
Female-Less than 20 years,4098
"Black or African American, non-Hispanic",641
"Asian or Pacific Islander, non-Hispanic",1308
Hispanic or Latino,6305
Other Race,9859
Unknown,17155
"American Indian or Alaska Native, non-Hispanic",18019
"White, non-Hispanic",32551
