Category,Arizona
Total_doses_administered,7601704
Total_people_complete,3659854
Total_doses_ordered,5387440
total_pouluation,7189020
Total_people_one_dose,4137197
Male-65 years and older,531253
Male-55-64 years,307401
Male-45-54 years,272069
Male-20-44 years,654495
Male-Less than 20 years,175600
Female-65 years and older,654418
Female-55-64 years,353099
Female-45-54 years,296736
Female-20-44 years,688815
Female-Less than 20 years,183665
"Black or African American, non-Hispanic",115123
"American Indian or Alaska Native, non-Hispanic",124252
"Asian or Pacific Islander, non-Hispanic",153317
Unknown,444756
Other Race,691858
Hispanic or Latino,714585
"White, non-Hispanic",1893306
