Category,Navajo
Total_doses_administered,80592
Total_people_one_dose,45224
Total_people_complete,38364
Total_doses_ordered,44400
total_pouluation,112825
Male-65 years and older,7138
Male-55-64 years,3715
Male-45-54 years,2658
Male-20-44 years,5615
Male-Less than 20 years,3221
Female-65 years and older,7840
Female-55-64 years,3969
Female-45-54 years,2648
Female-20-44 years,5026
Female-Less than 20 years,3358
"Black or African American, non-Hispanic",231
"Asian or Pacific Islander, non-Hispanic",429
Unknown,2342
Hispanic or Latino,2365
Other Race,8541
"White, non-Hispanic",15283
"American Indian or Alaska Native, non-Hispanic",16033
