Category,Maricopa
Total_doses_administered,3277622
Total_people_one_dose,1857489
Total_people_complete,1616885
Total_doses_ordered,1689183
total_pouluation,4367835
Male-65 years and older,188481
Male-55-64 years,133008
Male-45-54 years,134476
Male-20-44 years,318663
Male-Less than 20 years,89824
Female-65 years and older,243509
Female-55-64 years,152924
Female-45-54 years,148210
Female-20-44 years,344423
Female-Less than 20 years,92082
"American Indian or Alaska Native, non-Hispanic",40176
"Black or African American, non-Hispanic",72872
"Asian or Pacific Islander, non-Hispanic",84603
Unknown,183458
Other Race,283444
Hispanic or Latino,346956
"White, non-Hispanic",845980
