Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7601704,34813,156408,126273,23580,9356,55813,18330,3277622,164900,80592,334695,996573,73474,197965,228540
Total_people_complete,3659854,13031,77002,62255,11670,4535,26941,8990,1616885,78639,38364,169816,494752,36800,95092,109341
Total_doses_ordered,5387440,18500,109424,94080,21580,10850,38060,19400,1689183,135940,44400,201132,629076,49512,174926,150998
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,4137197,19433,85747,70554,13167,5367,30337,10104,1857489,93887,45224,190673,556818,40821,112981,128330
Male-65 years and older,531253,2003,8005,10944,1712,575,6006,3187,188481,22193,7138,30522,74606,3664,24468,16239
Male-55-64 years,307401,1352,6168,5296,1047,625,2696,705,133008,8781,3715,14333,37944,2687,8782,9151
Male-45-54 years,272069,1077,5603,3922,941,550,1687,349,134476,4612,2658,13571,33308,3144,5186,8156
Male-20-44 years,654495,2639,17126,10297,2269,1172,3383,606,318663,7842,5615,32516,83627,8064,10278,24298
Male-Less than 20 years,175600,2586,3411,2942,497,114,854,184,89824,1515,3221,6513,23074,2791,2236,6180
Female-65 years and older,654418,2123,9086,12952,2164,542,6368,3090,243509,24724,7840,35014,98069,4443,30529,18341
Female-55-64 years,353099,1479,6878,6379,1195,427,3001,864,152924,10215,3969,15209,46701,2716,11203,9593
Female-45-54 years,296736,1079,5717,4487,864,398,1780,371,148210,4917,2648,12147,38867,2980,6055,8395
Female-20-44 years,688815,2437,19566,10259,1890,860,3527,521,344423,7297,5026,23801,95253,7457,10439,21009
Female-Less than 20 years,183665,2648,4097,2984,577,101,973,205,92082,1627,3358,6452,24401,2805,2491,6552
"Black or African American, non-Hispanic",115123,297,641,1345,79,49,100,35,72872,670,231,5554,11145,36,633,762
"American Indian or Alaska Native, non-Hispanic",124252,11209,17993,337,1121,104,6226,246,40176,979,16033,9205,11941,18,1164,1680
"Asian or Pacific Islander, non-Hispanic",153317,174,1304,1337,68,51,261,78,84603,1359,429,3418,14003,100,1484,777
Unknown,444756,1065,17147,9474,4141,503,5538,2688,183458,16033,2342,38262,84988,2384,27762,34090
Other Race,691858,1326,9846,10699,1002,149,5018,1158,283444,16324,8541,20525,70867,2075,17370,11497
Hispanic or Latino,714585,1965,6296,17230,2181,2332,1408,1145,346956,6861,2365,30713,134616,31279,7324,56447
"White, non-Hispanic",1893306,3397,32520,30132,4575,2179,11786,4754,845980,51661,15283,82996,229258,4929,57244,23077
