Category,Pinal
Total_doses_administered,334695
Total_people_one_dose,190673
Total_people_complete,169816
Total_doses_ordered,201132
total_pouluation,455210
Male-65 years and older,30522
Male-55-64 years,14333
Male-45-54 years,13571
Male-20-44 years,32516
Male-Less than 20 years,6513
Female-65 years and older,35014
Female-55-64 years,15209
Female-45-54 years,12147
Female-20-44 years,23801
Female-Less than 20 years,6452
"Asian or Pacific Islander, non-Hispanic",3418
"Black or African American, non-Hispanic",5554
"American Indian or Alaska Native, non-Hispanic",9205
Other Race,20525
Hispanic or Latino,30713
Unknown,38262
"White, non-Hispanic",82996
