Category,Graham
Total_doses_administered,23580
Total_people_one_dose,13167
Total_people_complete,11670
Total_doses_ordered,21580
total_pouluation,38476
Male-65 years and older,1712
Male-55-64 years,1047
Male-45-54 years,941
Male-20-44 years,2269
Male-Less than 20 years,497
Female-65 years and older,2164
Female-55-64 years,1195
Female-45-54 years,864
Female-20-44 years,1890
Female-Less than 20 years,577
"Asian or Pacific Islander, non-Hispanic",68
"Black or African American, non-Hispanic",79
Other Race,1002
"American Indian or Alaska Native, non-Hispanic",1121
Hispanic or Latino,2181
Unknown,4141
"White, non-Hispanic",4575
