Category,Apache
Total_doses_administered,34813
Total_people_one_dose,19433
Total_people_complete,13031
Total_doses_ordered,18500
total_pouluation,71808
Male-65 years and older,2003
Male-55-64 years,1352
Male-45-54 years,1077
Male-20-44 years,2639
Male-Less than 20 years,2586
Female-65 years and older,2123
Female-55-64 years,1479
Female-45-54 years,1079
Female-20-44 years,2437
Female-Less than 20 years,2648
"Asian or Pacific Islander, non-Hispanic",174
"Black or African American, non-Hispanic",297
Unknown,1065
Other Race,1326
Hispanic or Latino,1965
"White, non-Hispanic",3397
"American Indian or Alaska Native, non-Hispanic",11209
