Category,Yavapai
Total_doses_administered,197965
Total_people_one_dose,112981
Total_people_complete,95092
Total_doses_ordered,174926
total_pouluation,232386
Male-65 years and older,24468
Male-55-64 years,8782
Male-45-54 years,5186
Male-20-44 years,10278
Male-Less than 20 years,2236
Female-65 years and older,30529
Female-55-64 years,11203
Female-45-54 years,6055
Female-20-44 years,10439
Female-Less than 20 years,2491
"Black or African American, non-Hispanic",633
"American Indian or Alaska Native, non-Hispanic",1164
"Asian or Pacific Islander, non-Hispanic",1484
Hispanic or Latino,7324
Other Race,17370
Unknown,27762
"White, non-Hispanic",57244
