Category,Gila
Total_doses_administered,55813
Total_people_one_dose,30337
Total_people_complete,26941
Total_doses_ordered,38060
total_pouluation,55159
Male-65 years and older,6006
Male-55-64 years,2696
Male-45-54 years,1687
Male-20-44 years,3383
Male-Less than 20 years,854
Female-65 years and older,6368
Female-55-64 years,3001
Female-45-54 years,1780
Female-20-44 years,3527
Female-Less than 20 years,973
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1408
Other Race,5018
Unknown,5538
"American Indian or Alaska Native, non-Hispanic",6226
"White, non-Hispanic",11786
