Category,Yuma
Total_doses_administered,228540
Total_people_one_dose,128330
Total_people_complete,109341
Total_doses_ordered,150998
total_pouluation,229957
Male-65 years and older,16239
Male-55-64 years,9151
Male-45-54 years,8156
Male-20-44 years,24298
Male-Less than 20 years,6180
Female-65 years and older,18341
Female-55-64 years,9593
Female-45-54 years,8395
Female-20-44 years,21009
Female-Less than 20 years,6552
"Black or African American, non-Hispanic",762
"Asian or Pacific Islander, non-Hispanic",777
"American Indian or Alaska Native, non-Hispanic",1680
Other Race,11497
"White, non-Hispanic",23077
Unknown,34090
Hispanic or Latino,56447
