Category,Coconino
Total_doses_administered,156408
Total_people_one_dose,85747
Total_people_complete,77002
Total_doses_ordered,109424
total_pouluation,147275
Male-65 years and older,8005
Male-55-64 years,6168
Male-45-54 years,5603
Male-20-44 years,17126
Male-Less than 20 years,3411
Female-65 years and older,9086
Female-55-64 years,6878
Female-45-54 years,5717
Female-20-44 years,19566
Female-Less than 20 years,4097
"Black or African American, non-Hispanic",641
"Asian or Pacific Islander, non-Hispanic",1304
Hispanic or Latino,6296
Other Race,9846
Unknown,17147
"American Indian or Alaska Native, non-Hispanic",17993
"White, non-Hispanic",32520
