Category,Cochise
Total_doses_administered,126273
Total_people_one_dose,70554
Total_people_complete,62255
Total_doses_ordered,94080
total_pouluation,130808
Male-65 years and older,10944
Male-55-64 years,5296
Male-45-54 years,3922
Male-20-44 years,10297
Male-Less than 20 years,2942
Female-65 years and older,12952
Female-55-64 years,6379
Female-45-54 years,4487
Female-20-44 years,10259
Female-Less than 20 years,2984
"American Indian or Alaska Native, non-Hispanic",337
"Asian or Pacific Islander, non-Hispanic",1337
"Black or African American, non-Hispanic",1345
Unknown,9474
Other Race,10699
Hispanic or Latino,17230
"White, non-Hispanic",30132
