Category,Apache
Total_doses_administered,20775
Total_people_one_dose,11878
Total_people_complete,9844
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1658
Male-55-64 years,868
Male-45-54 years,526
Male-20-44 years,970
Male-Less than 20 years,1789
Female-65 years and older,1698
Female-55-64 years,962
Female-45-54 years,588
Female-20-44 years,918
Female-Less than 20 years,1896
"Asian or Pacific Islander, non-Hispanic",0.0117864960431049
"Black or African American, non-Hispanic",0.0158275804007409
Unknown,0.0756019531907729
Other Race,0.0771173598248864
Hispanic or Latino,0.1033002188920694
"White, non-Hispanic",0.2396026267048325
"American Indian or Alaska Native, non-Hispanic",0.4767637649435932
