Category,Graham
Total_doses_administered,18954
Total_people_one_dose,10362
Total_people_complete,9456
Total_doses_ordered,18570
total_pouluation,38476
Male-65 years and older,1575
Male-55-64 years,904
Male-45-54 years,770
Male-20-44 years,1755
Male-Less than 20 years,153
Female-65 years and older,1971
Female-55-64 years,1028
Female-45-54 years,679
Female-20-44 years,1324
Female-Less than 20 years,193
"Asian or Pacific Islander, non-Hispanic",0.0047288168307277
"Black or African American, non-Hispanic",0.0058868944219263
Other Race,0.0793283149971048
"American Indian or Alaska Native, non-Hispanic",0.079424821463038
Hispanic or Latino,0.1609727851766068
"White, non-Hispanic",0.3340088785948659
Unknown,0.3356494885157306
