Category,La Paz
Total_doses_administered,16676
Total_people_one_dose,9150
Total_people_complete,8194
Total_doses_ordered,19000
total_pouluation,22085
Male-65 years and older,3050
Male-55-64 years,654
Male-45-54 years,291
Male-20-44 years,450
Male-Less than 20 years,90
Female-65 years and older,2948
Female-55-64 years,820
Female-45-54 years,325
Female-20-44 years,416
Female-Less than 20 years,92
"Black or African American, non-Hispanic",0.0024043715846995
"Asian or Pacific Islander, non-Hispanic",0.0073224043715847
"American Indian or Alaska Native, non-Hispanic",0.0158469945355191
Hispanic or Latino,0.0975956284153006
Other Race,0.1145355191256831
Unknown,0.2750819672131148
"White, non-Hispanic",0.4872131147540984
