Category,Arizona
Total_doses_administered,9144048
Total_people_complete,436980
total_pouluation,7189020
Total_people_one_dose,4520715
Male-65 years and older,555530
Male-55-64 years,323063
Male-45-54 years,291729
Male-20-44 years,721986
Male-Less than 20 years,242776
Female-65 years and older,677423
Female-55-64 years,368092
Female-45-54 years,314927
Female-20-44 years,755169
Female-Less than 20 years,250258
"Black or African American, non-Hispanic",135932
"Asian or Pacific Islander, non-Hispanic",171650
"American Indian or Alaska Native, non-Hispanic",190885
Unknown,413907
Other Race,653380
Hispanic or Latino,828219
"White, non-Hispanic",2126742
