Category,Maricopa
Total_doses_administered,5314407
Total_people_one_dose,2590150
Total_people_complete,2279901
total_pouluation,2590150
Male-65 years and older,281799
Male-55-64 years,186005
Male-45-54 years,180304
Male-20-44 years,429998
Male-Less than 20 years,137757
Female-65 years and older,352492
Female-55-64 years,209493
Female-45-54 years,195785
Female-20-44 years,460943
Female-Less than 20 years,141133
"American Indian or Alaska Native, non-Hispanic",50252
"Black or African American, non-Hispanic",99555
"Asian or Pacific Islander, non-Hispanic",130269
Unknown,172858
Other Race,421822
Hispanic or Latino,429592
"White, non-Hispanic",1285802
