Category,Gila
Total_doses_administered,53587
Total_people_one_dose,25659
Total_people_complete,22727
total_pouluation,25659
Male-65 years and older,5736
Male-55-64 years,2208
Male-45-54 years,1242
Male-20-44 years,2362
Male-Less than 20 years,667
Female-65 years and older,6150
Female-55-64 years,2580
Female-45-54 years,1391
Female-20-44 years,2530
Female-Less than 20 years,735
"Black or African American, non-Hispanic",87
"Asian or Pacific Islander, non-Hispanic",203
Hispanic or Latino,1399
"American Indian or Alaska Native, non-Hispanic",2621
Other Race,4058
Unknown,4576
"White, non-Hispanic",12715
