Category,Santa Cruz
Total_doses_administered,103571
Total_people_one_dose,54134
Total_people_complete,43655
total_pouluation,54134
Male-65 years and older,4623
Male-55-64 years,3207
Male-45-54 years,3355
Male-20-44 years,8911
Male-Less than 20 years,5833
Female-65 years and older,5579
Female-55-64 years,3489
Female-45-54 years,3624
Female-20-44 years,9181
Female-Less than 20 years,6251
"Black or African American, non-Hispanic",55
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3428
Unknown,3630
"White, non-Hispanic",7383
Hispanic or Latino,39398
