Category,Yavapai
Total_doses_administered,233753
Total_people_one_dose,115136
Total_people_complete,97474
total_pouluation,115136
Male-65 years and older,25459
Male-55-64 years,9034
Male-45-54 years,4958
Male-20-44 years,10004
Male-Less than 20 years,2744
Female-65 years and older,31173
Female-55-64 years,11463
Female-45-54 years,5911
Female-20-44 years,10220
Female-Less than 20 years,3022
"Black or African American, non-Hispanic",532
"Asian or Pacific Islander, non-Hispanic",1386
"American Indian or Alaska Native, non-Hispanic",1398
Hispanic or Latino,7831
Other Race,16947
Unknown,19417
"White, non-Hispanic",67625
