Category,Navajo
Total_doses_administered,95093
Total_people_one_dose,47646
Total_people_complete,40031
total_pouluation,47646
Male-65 years and older,7227
Male-55-64 years,3536
Male-45-54 years,2653
Male-20-44 years,5670
Male-Less than 20 years,3980
Female-65 years and older,8164
Female-55-64 years,4052
Female-45-54 years,2664
Female-20-44 years,5574
Female-Less than 20 years,4091
"Black or African American, non-Hispanic",200
"Asian or Pacific Islander, non-Hispanic",347
Unknown,2214
Hispanic or Latino,2407
Other Race,6221
"White, non-Hispanic",15767
"American Indian or Alaska Native, non-Hispanic",20490
