Category,Coconino
Total_doses_administered,192465
Total_people_one_dose,92462
Total_people_complete,80951
total_pouluation,92462
Male-65 years and older,9276
Male-55-64 years,6256
Male-45-54 years,5702
Male-20-44 years,16848
Male-Less than 20 years,5656
Female-65 years and older,10474
Female-55-64 years,7049
Female-45-54 years,5797
Female-20-44 years,19204
Female-Less than 20 years,5937
"Black or African American, non-Hispanic",763
"Asian or Pacific Islander, non-Hispanic",1556
Hispanic or Latino,6889
Other Race,8477
Unknown,12866
"American Indian or Alaska Native, non-Hispanic",21932
"White, non-Hispanic",39979
