Category,Cochise
Total_doses_administered,152531
Total_people_one_dose,78083
Total_people_complete,65693
total_pouluation,78083
Male-65 years and older,10979
Male-55-64 years,5371
Male-45-54 years,4201
Male-20-44 years,11301
Male-Less than 20 years,4882
Female-65 years and older,12941
Female-55-64 years,6409
Female-45-54 years,4721
Female-20-44 years,11960
Female-Less than 20 years,5218
"American Indian or Alaska Native, non-Hispanic",346
"Asian or Pacific Islander, non-Hispanic",1437
"Black or African American, non-Hispanic",1526
Unknown,9183
Other Race,11646
Hispanic or Latino,21540
"White, non-Hispanic",32405
