Category,Mohave
Total_doses_administered,175345
Total_people_one_dose,88141
Total_people_complete,75234
total_pouluation,88141
Male-65 years and older,20387
Male-55-64 years,8088
Male-45-54 years,4196
Male-20-44 years,7324
Male-Less than 20 years,1699
Female-65 years and older,22667
Female-55-64 years,9423
Female-45-54 years,4763
Female-20-44 years,7514
Female-Less than 20 years,1904
"Black or African American, non-Hispanic",591
"American Indian or Alaska Native, non-Hispanic",713
"Asian or Pacific Islander, non-Hispanic",1317
Hispanic or Latino,6927
Unknown,11489
Other Race,14172
"White, non-Hispanic",52932
