Category,Graham
Total_doses_administered,41674
Total_people_one_dose,20637
Total_people_complete,18296
total_pouluation,20637
Male-65 years and older,2371
Male-55-64 years,1564
Male-45-54 years,1423
Male-20-44 years,3518
Male-Less than 20 years,1070
Female-65 years and older,2875
Female-55-64 years,1707
Female-45-54 years,1395
Female-20-44 years,3544
Female-Less than 20 years,1158
"Asian or Pacific Islander, non-Hispanic",82
"Black or African American, non-Hispanic",89
Other Race,1282
Hispanic or Latino,3667
Unknown,4052
"American Indian or Alaska Native, non-Hispanic",5124
"White, non-Hispanic",6341
