Category,Santa Cruz
Total_doses_administered,108510
Total_people_one_dose,56105
Total_people_complete,44425
total_pouluation,56105
Male-65 years and older,4708
Male-55-64 years,3269
Male-45-54 years,3426
Male-20-44 years,9037
Male-Less than 20 years,6407
Female-65 years and older,5698
Female-55-64 years,3579
Female-45-54 years,3708
Female-20-44 years,9442
Female-Less than 20 years,6746
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",186
Other Race,3499
Unknown,3827
"White, non-Hispanic",7524
Hispanic or Latino,40954
