Category,Apache
Total_doses_administered,60139
Total_people_one_dose,29146
Total_people_complete,22605
total_pouluation,29146
Male-65 years and older,2779
Male-55-64 years,2024
Male-45-54 years,1619
Male-20-44 years,3854
Male-Less than 20 years,3964
Female-65 years and older,3341
Female-55-64 years,2178
Female-45-54 years,1597
Female-20-44 years,3741
Female-Less than 20 years,4041
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",132
Hispanic or Latino,568
Unknown,1103
Other Race,1139
"White, non-Hispanic",3637
"American Indian or Alaska Native, non-Hispanic",22508
