Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9543317,60139,201725,161305,43362,9313,55299,17859,5528811,182935,98683,511194,1547178,108510,243791,308618
Total_people_complete,3927475,22605,81588,66716,18483,3761,22868,7520,2298749,76195,40402,219412,626400,44425,98674,126808
total_pouluation,7189020,29146,94197,80368,21025,4368,25952,8897,2635076,89783,48843,250801,724616,56105,116953,156139
Total_people_one_dose,4618937,29146,94197,80368,21025,4368,25952,8897,2635076,89783,48843,250801,724616,56105,116953,156139
Male-65 years and older,564671,2779,9401,11190,2397,516,5802,2402,284947,20866,7306,36790,91652,4708,25822,16415
Male-55-64 years,328330,2024,6344,5491,1587,369,2221,610,188081,8203,3574,18334,48080,3269,9159,10413
Male-45-54 years,296301,1619,5784,4303,1437,325,1253,327,182531,4267,2692,16768,41357,3426,5053,9176
Male-20-44 years,735212,3854,17092,11549,3569,786,2395,669,436572,7463,5780,38288,110813,9037,10189,27952
Male-Less than 20 years,259169,3964,6001,5326,1140,221,695,364,145992,1772,4315,12412,42950,6407,2886,12270
Female-65 years and older,687304,3341,10580,13120,2907,515,6203,2432,356098,23027,8242,42357,117915,5698,31498,18980
Female-55-64 years,373740,2178,7121,6524,1721,318,2591,737,211690,9553,4099,20642,57559,3579,11608,11118
Female-45-54 years,319351,1597,5864,4821,1421,326,1393,372,197907,4825,2708,17046,46906,3708,5999,10121
Female-20-44 years,768889,3741,19489,12249,3608,759,2568,598,467723,7653,5666,35183,121810,9442,10433,26362
Female-Less than 20 years,266063,4041,6254,5694,1226,231,773,368,149073,1976,4425,12230,44108,6746,3155,12740
"Black or African American, non-Hispanic",139245,59,782,1571,93,53,89,39,101803,613,204,9149,16382,58,553,829
"Asian or Pacific Islander, non-Hispanic",176092,132,1625,1469,84,43,204,89,133304,1353,357,5124,21852,186,1429,1208
"American Indian or Alaska Native, non-Hispanic",197791,22508,22436,359,5199,121,2651,526,51539,731,21252,9719,15094,57,1426,1161
Unknown,419947,1103,12579,9420,4099,314,4562,1830,176088,11494,2291,29578,65732,3827,18950,29020
Other Race,664014,1139,8645,11836,1300,90,4149,1172,426622,14357,6295,30995,90801,3499,17215,18713
Hispanic or Latino,855976,568,7092,22684,3791,1969,1426,1334,441702,7125,2477,40481,174941,40954,8058,70922
"White, non-Hispanic",2165872,3637,41038,33029,6459,1778,12871,3907,1304018,54110,15967,125755,339814,7524,69322,34286
