Category,Yavapai
Total_doses_administered,243791
Total_people_one_dose,116953
Total_people_complete,98674
total_pouluation,116953
Male-65 years and older,25822
Male-55-64 years,9159
Male-45-54 years,5053
Male-20-44 years,10189
Male-Less than 20 years,2886
Female-65 years and older,31498
Female-55-64 years,11608
Female-45-54 years,5999
Female-20-44 years,10433
Female-Less than 20 years,3155
"Black or African American, non-Hispanic",553
"American Indian or Alaska Native, non-Hispanic",1426
"Asian or Pacific Islander, non-Hispanic",1429
Hispanic or Latino,8058
Other Race,17215
Unknown,18950
"White, non-Hispanic",69322
