Category,Mohave
Total_doses_administered,182935
Total_people_one_dose,89783
Total_people_complete,76195
total_pouluation,89783
Male-65 years and older,20866
Male-55-64 years,8203
Male-45-54 years,4267
Male-20-44 years,7463
Male-Less than 20 years,1772
Female-65 years and older,23027
Female-55-64 years,9553
Female-45-54 years,4825
Female-20-44 years,7653
Female-Less than 20 years,1976
"Black or African American, non-Hispanic",613
"American Indian or Alaska Native, non-Hispanic",731
"Asian or Pacific Islander, non-Hispanic",1353
Hispanic or Latino,7125
Unknown,11494
Other Race,14357
"White, non-Hispanic",54110
