Category,Coconino
Total_doses_administered,201725
Total_people_one_dose,94197
Total_people_complete,81588
total_pouluation,94197
Male-65 years and older,9401
Male-55-64 years,6344
Male-45-54 years,5784
Male-20-44 years,17092
Male-Less than 20 years,6001
Female-65 years and older,10580
Female-55-64 years,7121
Female-45-54 years,5864
Female-20-44 years,19489
Female-Less than 20 years,6254
"Black or African American, non-Hispanic",782
"Asian or Pacific Islander, non-Hispanic",1625
Hispanic or Latino,7092
Other Race,8645
Unknown,12579
"American Indian or Alaska Native, non-Hispanic",22436
"White, non-Hispanic",41038
