,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4589516,1319361,15385,78342,114009,37959,14083,7769,13728,1681394,97078,40927,621146,192701,38883,143664,127246
Total_people_one_dose,2770822,783947,8926,48637,65320,22283,8517,4418,8169,1044500,62106,24914,380427,118993,24401,86010,79254
Total_people_complete,1989114,,,,,,,,,,,,,,,,
Total_doses_ordered,4335320,,,,,,,,,,,,,,,,
65 years and older,564693,,,,,,,,,,,,,,,,
55-64 years,278909,,,,,,,,,,,,,,,,
45-54 years,199959,,,,,,,,,,,,,,,,
20-44 years,417366,,,,,,,,,,,,,,,,
Less than 20 years,43921,,,,,,,,,,,,,,,,
65 years and older,118993,,,,,,,,,,,,,,,,
55-64 years,230163,,,,,,,,,,,,,,,,
45-54 years,170903,,,,,,,,,,,,,,,,
20-44 years,364537,,,,,,,,,,,,,,,,
Less than 20 years,37390,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",60407,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",65937,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",100204,,,,,,,,,,,,,,,,
Hispanic or Latino,343534,,,,,,,,,,,,,,,,
Unknown,380024,,,,,,,,,,,,,,,,
Other Race,477515,,,,,,,,,,,,,,,,
"White, non-Hispanic",1343201,,,,,,,,,,,,,,,,
