Category,Graham
Total_doses_administered,14083
Total_people_one_dose,8517
Total_people_complete,5916
Total_doses_ordered,16530
total_pouluation,38476
Male-65 years and older,1484
Male-55-64 years,775
Male-45-54 years,627
Male-20-44 years,1171
Male-Less than 20 years,73
Female-65 years and older,1841
Female-55-64 years,893
Female-45-54 years,559
Female-20-44 years,986
Female-Less than 20 years,99
"Asian or Pacific Islander, non-Hispanic",0.002583069155806
"Black or African American, non-Hispanic",0.0028178936245157
Other Race,0.0305271809322531
"American Indian or Alaska Native, non-Hispanic",0.0494305506633791
Hispanic or Latino,0.1600328754256193
"White, non-Hispanic",0.2302453915698016
Unknown,0.5243630386286252
