,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1217126,256889,6070,19837,35040,11121,4617,3042,3608,487529,20098,16477,195091,52566,10324,44603,31050
Total_people_one_dose,925763,207297,4812,16015,26969,8838,3473,2708,3243,355908,15612,12061,153398,41601,8584,40286,24958
Total_people_complete,283869,55580,,,,,,,,,,,,,,,
Total_doses_ordered,1395300,333697,,,,,,,,,,,,,,,
65 years and older,262815,72858,,,,,,,,,,,,,,,
55-64 years,70090,11548,,,,,,,,,,,,,,,
45-54 years,66344,10132,,,,,,,,,,,,,,,
20-44 years,139105,20117,,,,,,,,,,,,,,,
Less than 20 years,3992,650,,,,,,,,,,,,,,,
65 years and older,213208,63257,,,,,,,,,,,,,,,
55-64 years,42765,7433,,,,,,,,,,,,,,,
45-54 years,41566,7107,,,,,,,,,,,,,,,
20-44 years,80999,12773,,,,,,,,,,,,,,,
Less than 20 years,2443,439,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2110,375,,,,,,,,,,,,,,,
Black or African American,13481,1023,,,,,,,,,,,,,,,
Asian,21057,2866,,,,,,,,,,,,,,,
American Indian or Alaska Native,28809,5198,,,,,,,,,,,,,,,
Hispanic or Latino,75746,7704,,,,,,,,,,,,,,,
Other Race/Unknown,339591,61004,,,,,,,,,,,,,,,
White,445344,129215,,,,,,,,,,,,,,,
