Category,Maricopa
Total_doses_administered,5208205
Total_people_one_dose,2567364
Total_people_complete,2269910
total_pouluation,2567364
Male-65 years and older,280361
Male-55-64 years,184885
Male-45-54 years,179172
Male-20-44 years,426857
Male-Less than 20 years,133453
Female-65 years and older,350786
Female-55-64 years,208352
Female-45-54 years,194641
Female-20-44 years,457522
Female-Less than 20 years,136901
"American Indian or Alaska Native, non-Hispanic",49580
"Black or African American, non-Hispanic",98467
"Asian or Pacific Islander, non-Hispanic",128873
Unknown,170226
Other Race,419481
Hispanic or Latino,423933
"White, non-Hispanic",1276804
