Category,Cochise
Total_doses_administered,147928
Total_people_one_dose,76569
Total_people_complete,65201
total_pouluation,76569
Male-65 years and older,10862
Male-55-64 years,5287
Male-45-54 years,4130
Male-20-44 years,11146
Male-Less than 20 years,4609
Female-65 years and older,12828
Female-55-64 years,6333
Female-45-54 years,4648
Female-20-44 years,11757
Female-Less than 20 years,4870
"American Indian or Alaska Native, non-Hispanic",340
"Asian or Pacific Islander, non-Hispanic",1412
"Black or African American, non-Hispanic",1505
Unknown,8951
Other Race,11523
Hispanic or Latino,20655
"White, non-Hispanic",32183
