Category,Mohave
Total_doses_administered,171118
Total_people_one_dose,87219
Total_people_complete,74732
total_pouluation,87219
Male-65 years and older,20182
Male-55-64 years,7996
Male-45-54 years,4152
Male-20-44 years,7237
Male-Less than 20 years,1648
Female-65 years and older,22525
Female-55-64 years,9354
Female-45-54 years,4719
Female-20-44 years,7369
Female-Less than 20 years,1862
"Black or African American, non-Hispanic",584
"American Indian or Alaska Native, non-Hispanic",693
"Asian or Pacific Islander, non-Hispanic",1301
Hispanic or Latino,6813
Unknown,11400
Other Race,14054
"White, non-Hispanic",52374
