Category,Graham
Total_doses_administered,40669
Total_people_one_dose,20374
Total_people_complete,18188
total_pouluation,20374
Male-65 years and older,2360
Male-55-64 years,1554
Male-45-54 years,1413
Male-20-44 years,3493
Male-Less than 20 years,1008
Female-65 years and older,2853
Female-55-64 years,1697
Female-45-54 years,1379
Female-20-44 years,3500
Female-Less than 20 years,1105
"Asian or Pacific Islander, non-Hispanic",80
"Black or African American, non-Hispanic",88
Other Race,1273
Hispanic or Latino,3598
Unknown,3980
"American Indian or Alaska Native, non-Hispanic",5061
"White, non-Hispanic",6294
