Category,Santa Cruz
Total_doses_administered,99268
Total_people_one_dose,52346
Total_people_complete,43326
total_pouluation,52346
Male-65 years and older,4552
Male-55-64 years,3164
Male-45-54 years,3293
Male-20-44 years,8786
Male-Less than 20 years,5357
Female-65 years and older,5486
Female-55-64 years,3425
Female-45-54 years,3552
Female-20-44 years,8998
Female-Less than 20 years,5656
"Black or African American, non-Hispanic",53
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",183
Unknown,3306
Other Race,3396
"White, non-Hispanic",7313
Hispanic or Latino,38039
