Category,Coconino
Total_doses_administered,187816
Total_people_one_dose,91600
Total_people_complete,80574
total_pouluation,91600
Male-65 years and older,9216
Male-55-64 years,6200
Male-45-54 years,5667
Male-20-44 years,16724
Male-Less than 20 years,5505
Female-65 years and older,10418
Female-55-64 years,7015
Female-45-54 years,5778
Female-20-44 years,19037
Female-Less than 20 years,5778
"Black or African American, non-Hispanic",756
"Asian or Pacific Islander, non-Hispanic",1532
Hispanic or Latino,6812
Other Race,8419
Unknown,12902
"American Indian or Alaska Native, non-Hispanic",21640
"White, non-Hispanic",39539
