Category,Arizona
Total_doses_administered,8927569
Total_people_complete,421816
total_pouluation,7189020
Total_people_one_dose,4465711
Male-65 years and older,550664
Male-55-64 years,319927
Male-45-54 years,289043
Male-20-44 years,714698
Male-Less than 20 years,234025
Female-65 years and older,672096
Female-55-64 years,364724
Female-45-54 years,312191
Female-20-44 years,747059
Female-Less than 20 years,241558
"Black or African American, non-Hispanic",134325
"Asian or Pacific Islander, non-Hispanic",169633
"American Indian or Alaska Native, non-Hispanic",183561
Unknown,408138
Other Race,648319
Hispanic or Latino,813713
"White, non-Hispanic",2108022
