Category,Apache
Total_doses_administered,44725
Total_people_one_dose,24664
Total_people_complete,17219
total_pouluation,24664
Male-65 years and older,2456
Male-55-64 years,1702
Male-45-54 years,1312
Male-20-44 years,3050
Male-Less than 20 years,3528
Female-65 years and older,2915
Female-55-64 years,1845
Female-45-54 years,1329
Female-20-44 years,2916
Female-Less than 20 years,3603
"Black or African American, non-Hispanic",50
"Asian or Pacific Islander, non-Hispanic",112
Hispanic or Latino,523
Other Race,1042
Unknown,1085
"White, non-Hispanic",3514
"American Indian or Alaska Native, non-Hispanic",18338
