Category,Yavapai
Total_doses_administered,228166
Total_people_one_dose,114015
Total_people_complete,96768
total_pouluation,114015
Male-65 years and older,25228
Male-55-64 years,8942
Male-45-54 years,4907
Male-20-44 years,9902
Male-Less than 20 years,2661
Female-65 years and older,30964
Female-55-64 years,11359
Female-45-54 years,5859
Female-20-44 years,10103
Female-Less than 20 years,2942
"Black or African American, non-Hispanic",526
"Asian or Pacific Islander, non-Hispanic",1361
"American Indian or Alaska Native, non-Hispanic",1377
Hispanic or Latino,7734
Other Race,16772
Unknown,19441
"White, non-Hispanic",66804
