Category,La Paz
Total_doses_administered,15262
Total_people_one_dose,8141
Total_people_complete,7074
total_pouluation,8141
Male-65 years and older,2249
Male-55-64 years,581
Male-45-54 years,303
Male-20-44 years,606
Male-Less than 20 years,248
Female-65 years and older,2298
Female-55-64 years,687
Female-45-54 years,356
Female-20-44 years,540
Female-Less than 20 years,257
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",370
Other Race,1171
Hispanic or Latino,1174
Unknown,1896
"White, non-Hispanic",3413
