Category,Yavapai
Total_doses_administered,203443
Total_people_one_dose,109464
Total_people_complete,91978
total_pouluation,109464
Male-65 years and older,24117
Male-55-64 years,8727
Male-45-54 years,4765
Male-20-44 years,9498
Male-Less than 20 years,2221
Female-65 years and older,30006
Female-55-64 years,11129
Female-45-54 years,5664
Female-20-44 years,9652
Female-Less than 20 years,2537
"Black or African American, non-Hispanic",483
"American Indian or Alaska Native, non-Hispanic",1227
"Asian or Pacific Islander, non-Hispanic",1238
Hispanic or Latino,7240
Other Race,17084
Unknown,25062
"White, non-Hispanic",57130
