Category,Mohave
Total_doses_administered,155533
Total_people_one_dose,83866
Total_people_complete,70388
total_pouluation,83866
Male-65 years and older,19348
Male-55-64 years,7783
Male-45-54 years,4012
Male-20-44 years,6931
Male-Less than 20 years,1447
Female-65 years and older,21825
Female-55-64 years,9151
Female-45-54 years,4552
Female-20-44 years,7009
Female-Less than 20 years,1635
"Black or African American, non-Hispanic",519
"American Indian or Alaska Native, non-Hispanic",633
"Asian or Pacific Islander, non-Hispanic",1188
Hispanic or Latino,6443
Unknown,13327
Other Race,14996
"White, non-Hispanic",46760
