Category,Apache
Total_doses_administered,38116
Total_people_one_dose,21082
Total_people_complete,12907
total_pouluation,21082
Male-65 years and older,2232
Male-55-64 years,1520
Male-45-54 years,1164
Male-20-44 years,2731
Male-Less than 20 years,2702
Female-65 years and older,2608
Female-55-64 years,1610
Female-45-54 years,1166
Female-20-44 years,2567
Female-Less than 20 years,2774
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",109
Hispanic or Latino,481
Other Race,1228
Unknown,1509
"White, non-Hispanic",3220
"American Indian or Alaska Native, non-Hispanic",14488
