Category,Coconino
Total_doses_administered,168658
Total_people_one_dose,86731
Total_people_complete,77257
total_pouluation,86731
Male-65 years and older,8952
Male-55-64 years,6055
Male-45-54 years,5518
Male-20-44 years,16167
Male-Less than 20 years,4173
Female-65 years and older,10156
Female-55-64 years,6860
Female-45-54 years,5663
Female-20-44 years,18447
Female-Less than 20 years,4484
"Black or African American, non-Hispanic",662
"Asian or Pacific Islander, non-Hispanic",1392
Hispanic or Latino,6249
Other Race,10511
Unknown,15393
"American Indian or Alaska Native, non-Hispanic",18911
"White, non-Hispanic",33613
