Category,Gila
Total_doses_administered,46924
Total_people_one_dose,24693
Total_people_complete,21794
total_pouluation,24693
Male-65 years and older,5552
Male-55-64 years,2157
Male-45-54 years,1218
Male-20-44 years,2277
Male-Less than 20 years,564
Female-65 years and older,5991
Female-55-64 years,2507
Female-45-54 years,1352
Female-20-44 years,2387
Female-Less than 20 years,630
"Black or African American, non-Hispanic",78
"Asian or Pacific Islander, non-Hispanic",200
Hispanic or Latino,1334
"American Indian or Alaska Native, non-Hispanic",2377
Other Race,4427
Unknown,5150
"White, non-Hispanic",11127
