Category,Navajo
Total_doses_administered,82574
Total_people_one_dose,43872
Total_people_complete,35936
total_pouluation,43872
Male-65 years and older,6884
Male-55-64 years,3377
Male-45-54 years,2468
Male-20-44 years,5298
Male-Less than 20 years,3207
Female-65 years and older,7794
Female-55-64 years,3844
Female-45-54 years,2466
Female-20-44 years,5127
Female-Less than 20 years,3372
"Black or African American, non-Hispanic",182
"Asian or Pacific Islander, non-Hispanic",354
Hispanic or Latino,2236
Unknown,2666
Other Race,7856
"White, non-Hispanic",13577
"American Indian or Alaska Native, non-Hispanic",17001
