Category,Graham
Total_doses_administered,37761
Total_people_one_dose,19640
Total_people_complete,17306
total_pouluation,19640
Male-65 years and older,2328
Male-55-64 years,1539
Male-45-54 years,1382
Male-20-44 years,3381
Male-Less than 20 years,841
Female-65 years and older,2798
Female-55-64 years,1670
Female-45-54 years,1357
Female-20-44 years,3394
Female-Less than 20 years,938
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",90
Other Race,1534
Hispanic or Latino,3436
Unknown,4212
"American Indian or Alaska Native, non-Hispanic",4718
"White, non-Hispanic",5570
