Category,Maricopa
Total_doses_administered,4848907
Total_people_one_dose,2466996
Total_people_complete,2163742
total_pouluation,2466996
Male-65 years and older,274325
Male-55-64 years,181255
Male-45-54 years,174805
Male-20-44 years,413498
Male-Less than 20 years,111294
Female-65 years and older,343811
Female-55-64 years,204524
Female-45-54 years,190363
Female-20-44 years,443271
Female-Less than 20 years,115442
"American Indian or Alaska Native, non-Hispanic",45342
"Black or African American, non-Hispanic",89094
"Asian or Pacific Islander, non-Hispanic",117397
Unknown,194211
Hispanic or Latino,398165
Other Race,446907
"White, non-Hispanic",1175880
