Category,Arizona
Total_doses_administered,8197928
Total_people_complete,368024
total_pouluation,7189020
Total_people_one_dose,4244143
Male-65 years and older,531314
Male-55-64 years,311014
Male-45-54 years,280303
Male-20-44 years,687320
Male-Less than 20 years,188694
Female-65 years and older,651973
Female-55-64 years,355009
Female-45-54 years,303249
Female-20-44 years,718604
Female-Less than 20 years,197127
"Black or African American, non-Hispanic",120221
"Asian or Pacific Islander, non-Hispanic",153671
"American Indian or Alaska Native, non-Hispanic",159977
Unknown,473730
Other Race,681640
Hispanic or Latino,751583
"White, non-Hispanic",1903321
