Category,Santa Cruz
Total_doses_administered,71935
Total_people_one_dose,40217
Total_people_complete,36034
Total_doses_ordered,49312
total_pouluation,53161
Male-65 years and older,3637
Male-55-64 years,2661
Male-45-54 years,3109
Male-20-44 years,7964
Male-Less than 20 years,2672
Female-65 years and older,4410
Female-55-64 years,2691
Female-45-54 years,2961
Female-20-44 years,7357
Female-Less than 20 years,2685
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",99
Other Race,2054
Unknown,2359
"White, non-Hispanic",4877
Hispanic or Latino,30775
