Category,Apache
Total_doses_administered,33881
Total_people_one_dose,18993
Total_people_complete,12597
Total_doses_ordered,16700
total_pouluation,71808
Male-65 years and older,1980
Male-55-64 years,1319
Male-45-54 years,1046
Male-20-44 years,2553
Male-Less than 20 years,2538
Female-65 years and older,2087
Female-55-64 years,1450
Female-45-54 years,1047
Female-20-44 years,2341
Female-Less than 20 years,2622
"Asian or Pacific Islander, non-Hispanic",171
"Black or African American, non-Hispanic",290
Unknown,1023
Other Race,1291
Hispanic or Latino,1890
"White, non-Hispanic",3326
"American Indian or Alaska Native, non-Hispanic",11002
