Category,Mohave
Total_doses_administered,159674
Total_people_one_dose,91552
Total_people_complete,75896
Total_doses_ordered,133040
total_pouluation,216985
Male-65 years and older,21848
Male-55-64 years,8612
Male-45-54 years,4468
Male-20-44 years,7492
Male-Less than 20 years,1377
Female-65 years and older,24368
Female-55-64 years,10012
Female-45-54 years,4744
Female-20-44 years,6991
Female-Less than 20 years,1481
"Black or African American, non-Hispanic",645
"American Indian or Alaska Native, non-Hispanic",954
"Asian or Pacific Islander, non-Hispanic",1322
Hispanic or Latino,6611
Unknown,15320
Other Race,16161
"White, non-Hispanic",50539
