Category,Yavapai
Total_doses_administered,194145
Total_people_one_dose,111176
Total_people_complete,93221
Total_doses_ordered,169890
total_pouluation,232386
Male-65 years and older,24237
Male-55-64 years,8669
Male-45-54 years,5080
Male-20-44 years,9973
Male-Less than 20 years,2148
Female-65 years and older,30242
Female-55-64 years,11079
Female-45-54 years,5928
Female-20-44 years,10107
Female-Less than 20 years,2400
"Black or African American, non-Hispanic",607
"American Indian or Alaska Native, non-Hispanic",1132
"Asian or Pacific Islander, non-Hispanic",1455
Hispanic or Latino,7094
Other Race,17105
Unknown,27522
"White, non-Hispanic",56261
