Category,Pinal
Total_doses_administered,324969
Total_people_one_dose,186176
Total_people_complete,164635
Total_doses_ordered,198808
total_pouluation,455210
Male-65 years and older,30220
Male-55-64 years,14093
Male-45-54 years,13219
Male-20-44 years,31449
Male-Less than 20 years,6209
Female-65 years and older,34657
Female-55-64 years,14975
Female-45-54 years,11840
Female-20-44 years,22787
Female-Less than 20 years,6133
"Asian or Pacific Islander, non-Hispanic",3327
"Black or African American, non-Hispanic",5371
"American Indian or Alaska Native, non-Hispanic",8941
Other Race,20034
Hispanic or Latino,29744
Unknown,37645
"White, non-Hispanic",81114
