Category,Maricopa
Total_doses_administered,3161152
Total_people_one_dose,1800850
Total_people_complete,1557994
Total_doses_ordered,1638900
total_pouluation,4367835
Male-65 years and older,184875
Male-55-64 years,130224
Male-45-54 years,130530
Male-20-44 years,305794
Male-Less than 20 years,85291
Female-65 years and older,239178
Female-55-64 years,149902
Female-45-54 years,144260
Female-20-44 years,331379
Female-Less than 20 years,87586
"American Indian or Alaska Native, non-Hispanic",38265
"Black or African American, non-Hispanic",70000
"Asian or Pacific Islander, non-Hispanic",83101
Unknown,175932
Other Race,276998
Hispanic or Latino,332467
"White, non-Hispanic",824087
