,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3164115,843694,12758,53635,89970,30817,10857,6764,10616,1176257,62927,32253,440721,135598,25757,110053,85399
Total_people_one_dose,2008916,556323,7607,35790,53809,20011,6730,3847,6702,740510,43103,20765,284286,87780,16918,66182,58553
Total_people_complete,1236338,,,,,,,,,,,,,,,,
Total_doses_ordered,2819270,,,,,,,,,,,,,,,,
65 years and older,512249,,,,,,,,,,,,,,,,
55-64 years,225029,,,,,,,,,,,,,,,,
45-54 years,123694,,,,,,,,,,,,,,,,
20-44 years,253702,,,,,,,,,,,,,,,,
Less than 20 years,13854,,,,,,,,,,,,,,,,
65 years and older,20765,,,,,,,,,,,,,,,,
55-64 years,178792,,,,,,,,,,,,,,,,
45-54 years,91988,,,,,,,,,,,,,,,,
20-44 years,182764,,,,,,,,,,,,,,,,
Less than 20 years,10019,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",37395,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",54688,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",59129,,,,,,,,,,,,,,,,
Hispanic or Latino,198875,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",297344,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",368740,,,,,,,,,,,,,,,,
"White, non-Hispanic",992924,,,,,,,,,,,,,,,,
