,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2251363,569849,10183,35758,63618,19932,7712,5826,7087,853458,41492,24345,323801,97192,17377,84426,55515
Total_people_one_dose,1442915,370751,6343,25298,43545,14312,4795,3552,4590,553699,27851,16364,206011,65193,10957,52333,37321
Total_people_complete,828315,,,,,,,,,,,,,,,,
Total_doses_ordered,2287600,,,,,,,,,,,,,,,,
65 years and older,429487,,,,,,,,,,,,,,,,
55-64 years,124148,,,,,,,,,,,,,,,,
45-54 years,87460,,,,,,,,,,,,,,,,
20-44 years,183778,,,,,,,,,,,,,,,,
Less than 20 years,6953,,,,,,,,,,,,,,,,
65 years and older,3552,,,,,,,,,,,,,,,,
55-64 years,85674,,,,,,,,,,,,,,,,
45-54 years,57269,,,,,,,,,,,,,,,,
20-44 years,113700,,,,,,,,,,,,,,,,
Less than 20 years,4497,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,3314,,,,,,,,,,,,,,,,
Black or African American,23033,,,,,,,,,,,,,,,,
Asian,32722,,,,,,,,,,,,,,,,
American Indian or Alaska Native,39882,,,,,,,,,,,,,,,,
Hispanic or Latino,122187,,,,,,,,,,,,,,,,
Other Race/Unknown,519016,,,,,,,,,,,,,,,,
White,703064,,,,,,,,,,,,,,,,
