Category,Greenlee
Total_doses_administered,9649
Total_people_one_dose,4428
Total_people_complete,3826
total_pouluation,4428
Male-65 years and older,516
Male-55-64 years,377
Male-45-54 years,330
Male-20-44 years,797
Male-Less than 20 years,232
Female-65 years and older,519
Female-55-64 years,318
Female-45-54 years,329
Female-20-44 years,766
Female-Less than 20 years,242
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",53
Other Race,92
"American Indian or Alaska Native, non-Hispanic",125
Unknown,316
"White, non-Hispanic",1799
Hispanic or Latino,2000
